state,district,period_start,requested_kg,unique_food_types,request_count,request_status_pending,incoming_shipments,incoming_batches,incoming_kg,avg_travel_time_minutes,outgoing_shipments,outgoing_batches,outgoing_kg,produced_batches,produced_kg,avg_batch_freshness,avg_shelf_life_hours,festival_ambedkar_jayanti,festival_bakr_id/eid_ul-adha,festival_bhai_duj,festival_birthday_of_ravindranath,festival_buddha_purnima/vesak,festival_chaitra_sukhladi,festival_chhat_puja_(pratihar_sashthi/surya_sashthi),festival_christmas,festival_christmas_eve,festival_diwali/deepavali,festival_dolyatra,festival_dussehra,festival_easter_day,festival_first_day_of_durga_puja_festivities,festival_first_day_of_sharad_navratri,festival_ganesh_chaturthi/vinayaka_chaturthi,festival_good_friday,festival_govardhan_puja,festival_gudi_padwa,festival_guru_govind_singh_jayanti,festival_guru_nanak_jayanti,festival_guru_ravidas_jayanti,festival_guru_tegh_bahadur's_martyrdom_day,festival_hazarat_ali's_birthday,festival_holi,festival_holika_dahana,festival_independence_day,festival_jamat_ul-vida,festival_janmashtami,festival_janmashtami_(smarta),festival_karaka_chaturthi_(karva_chauth),festival_lohri,festival_maha_ashtami,festival_maha_navami,festival_maha_saptami,festival_maha_shivaratri/shivaratri,festival_maharishi_dayanand_saraswati_jayanti,festival_maharishi_valmiki_jayanti,festival_mahatma_gandhi_jayanti,festival_mahavir_jayanti,festival_makar_sankranti,festival_mesadi_/_vaisakhadi,festival_milad_un-nabi/id-e-milad,festival_muharram/ashura,festival_naraka_chaturdasi,festival_new_year's_day,festival_onam,festival_parsi_new_year,festival_pongal,festival_raksha_bandhan_(rakhi),festival_rama_navami,festival_ramzan_id/eid-ul-fitar,festival_rath_yatra,festival_republic_day,festival_shivaji_jayanti,festival_ugadi,festival_vaisakhi,festival_vasant_panchami,per_capita_income_x,per_capita_income_y,supply_demand_gap_kg,net_flow_kg,production_vs_demand_ratio,request_to_supply_ratio
Andhra Pradesh,Chittoor,2025-08-01,14032.0,5.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56170.92,-14032.0,0.0,0.0,0.0
Andhra Pradesh,Chittoor,2025-09-01,2729.0,5.0,5.0,5.0,4.0,9.0,3043.0,36.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56170.92,314.0,3043.0,0.0,0.8968123562274072
Andhra Pradesh,Chittoor,2025-10-01,8998.0,5.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56170.92,-8998.0,0.0,0.0,0.0
Andhra Pradesh,Chittoor,2025-11-01,4330.0,6.0,6.0,6.0,3.0,6.0,2086.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56170.92,-2244.0,2086.0,0.0,2.075743048897411
Andhra Pradesh,Chittoor,2025-12-01,2192.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56170.92,-2192.0,0.0,0.0,0.0
Andhra Pradesh,Chittoor,2026-01-01,9676.0,6.0,11.0,11.0,1.0,2.0,1002.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56170.92,-8674.0,1002.0,0.0,9.656686626746508
Andhra Pradesh,Chittoor,2026-02-01,6842.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56170.92,-6842.0,0.0,0.0,0.0
Andhra Pradesh,East Godavari,2025-08-01,13390.0,6.0,12.0,12.0,3.0,3.0,2050.0,33.333333333333336,7.0,11.0,5232.0,10.0,3167.0,100.0,717.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71147.25,-11340.0,-3182.0,0.23651979088872294,6.53170731707317
Andhra Pradesh,East Godavari,2025-09-01,3241.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,6.0,11.0,3905.0,10.0,3708.0,100.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71147.25,-3241.0,-3905.0,1.1440913298364703,0.0
Andhra Pradesh,East Godavari,2025-10-01,13946.0,6.0,11.0,11.0,3.0,6.0,2446.0,43.5,2.0,2.0,503.0,10.0,3245.0,100.0,580.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71147.25,-11500.0,1943.0,0.23268320665423778,5.701553556827474
