state,district,period_start,festival,celebration_pct
Andhra Pradesh,Chittoor,2022-04-14,Ambedkar Jayanti,0.75
Andhra Pradesh,Chittoor,2022-07-10,Bakr Id/Eid ul-Adha,0.0908
Andhra Pradesh,Chittoor,2022-10-26,Bhai Duj,0.6634
Andhra Pradesh,Chittoor,2022-05-16,Buddha Purnima/Vesak,0.08
Andhra Pradesh,Chittoor,2022-12-25,Christmas,0.0127
Andhra Pradesh,Chittoor,2022-12-24,Christmas Eve,0.0121
Andhra Pradesh,Chittoor,2022-10-24,Diwali/Deepavali,0.7961
Andhra Pradesh,Chittoor,2022-10-05,Dussehra,0.7519
Andhra Pradesh,Chittoor,2022-04-17,Easter Day,0.0121
Andhra Pradesh,Chittoor,2022-08-31,Ganesh Chaturthi/Vinayaka Chaturthi,0.7961
Andhra Pradesh,Chittoor,2022-04-15,Good Friday,0.0127
Andhra Pradesh,Chittoor,2022-02-15,Hazarat Ali's Birthday,0.0574
Andhra Pradesh,Chittoor,2022-03-18,Holi,0.7519
Andhra Pradesh,Chittoor,2022-03-17,Holika Dahana,0.7077
Andhra Pradesh,Chittoor,2022-08-15,Independence Day,0.95
Andhra Pradesh,Chittoor,2022-04-29,Jamat Ul-Vida,0.0813
Andhra Pradesh,Chittoor,2022-08-19,Janmashtami,0.7519
Andhra Pradesh,Chittoor,2022-08-18,Janmashtami (Smarta),0.7519
Andhra Pradesh,Chittoor,2022-03-01,Maha Shivaratri/Shivaratri,0.7077
Andhra Pradesh,Chittoor,2022-10-02,Mahatma Gandhi Jayanti,0.95
Andhra Pradesh,Chittoor,2022-01-14,Makar Sankranti,0.7077
Andhra Pradesh,Chittoor,2022-10-09,Milad un-Nabi/Id-e-Milad,0.0813
Andhra Pradesh,Chittoor,2022-08-08,Muharram/Ashura,0.0765
Andhra Pradesh,Chittoor,2022-10-24,Naraka Chaturdasi,0.7784
Andhra Pradesh,Chittoor,2022-01-01,New Year's Day,0.65
Andhra Pradesh,Chittoor,2022-08-11,Raksha Bandhan (Rakhi),0.6634
