"Dist Code","Year","State Code","State Name","Dist Name","TOTAL CURRENT PRICES (Millions in Rs)"
"1","2007 (2004)","14","Chhattisgarh","Durg","116682"
"1","2008 (2004)","14","Chhattisgarh","Durg","137984"
"1","2009 (2004)","14","Chhattisgarh","Durg","141821"
"1","2010 (2004)","14","Chhattisgarh","Durg","173256"
"1","2011 (2004)","14","Chhattisgarh","Durg","190355"
"1","2012 (2004)","14","Chhattisgarh","Durg","219071"
"1","2013 (2004)","14","Chhattisgarh","Durg","246863"
"2","2007 (2004)","14","Chhattisgarh","Bastar","31537"
"2","2008 (2004)","14","Chhattisgarh","Bastar","35732"
"2","2009 (2004)","14","Chhattisgarh","Bastar","37710"
"2","2010 (2004)","14","Chhattisgarh","Bastar","42127"
"2","2011 (2004)","14","Chhattisgarh","Bastar","46649"
"2","2012 (2004)","14","Chhattisgarh","Bastar","54544"
"2","2013 (2004)","14","Chhattisgarh","Bastar","62179"
"3","2007 (2004)","14","Chhattisgarh","Raipur","178584"
"3","2008 (2004)","14","Chhattisgarh","Raipur","217938"
"3","2009 (2004)","14","Chhattisgarh","Raipur","225657"
"3","2010 (2004)","14","Chhattisgarh","Raipur","268431"
"3","2011 (2004)","14","Chhattisgarh","Raipur","306439"
"3","2012 (2004)","14","Chhattisgarh","Raipur","364883"
"3","2013 (2004)","14","Chhattisgarh","Raipur","423297"
"4","2007 (2004)","14","Chhattisgarh","Bilaspur","71711"
"4","2008 (2004)","14","Chhattisgarh","Bilaspur","88126"
"4","2009 (2004)","14","Chhattisgarh","Bilaspur","103230"
"4","2010 (2004)","14","Chhattisgarh","Bilaspur","120906"
"4","2011 (2004)","14","Chhattisgarh","Bilaspur","137242"
"4","2012 (2004)","14","Chhattisgarh","Bilaspur","162612"
"4","2013 (2004)","14","Chhattisgarh","Bilaspur","188695"
"5","2007 (2004)","14","Chhattisgarh","Raigarh","63315"
"5","2008 (2004)","14","Chhattisgarh","Raigarh","77479"
"5","2009 (2004)","14","Chhattisgarh","Raigarh","70972"
"5","2010 (2004)","14","Chhattisgarh","Raigarh","82296"
"5","2011 (2004)","14","Chhattisgarh","Raigarh","86900"
"5","2012 (2004)","14","Chhattisgarh","Raigarh","97360"
"5","2013 (2004)","14","Chhattisgarh","Raigarh","108738"
"6","2007 (2004)","14","Chhattisgarh","Surguja","39984"
"6","2008 (2004)","14","Chhattisgarh","Surguja","46292"
"6","2009 (2004)","14","Chhattisgarh","Surguja","46343"
"6","2010 (2004)","14","Chhattisgarh","Surguja","60133"
"6","2011 (2004)","14","Chhattisgarh","Surguja","66424"
"6","2012 (2004)","14","Chhattisgarh","Surguja","76220"
"6","2013 (2004)","14","Chhattisgarh","Surguja","86404"
"7","2007 (2004)","6","Madhya Pradesh","Jabalpur","81837"
"7","2008 (2004)","6","Madhya Pradesh","Jabalpur","102302"
"7","2009 (2004)","6","Madhya Pradesh","Jabalpur","114793"
"7","2010 (2004)","6","Madhya Pradesh","Jabalpur","139334"
"7","2011 (2004)","6","Madhya Pradesh","Jabalpur","161787"
"7","2012 (2004)","6","Madhya Pradesh","Jabalpur","188542"
"7","2013 (2004)","6","Madhya Pradesh","Jabalpur","216012"
"8","2007 (2004)","6","Madhya Pradesh","Balaghat","27967"
"8","2008 (2004)","6","Madhya Pradesh","Balaghat","34202"
"8","2009 (2004)","6","Madhya Pradesh","Balaghat","38871"
"8","2010 (2004)","6","Madhya Pradesh","Balaghat","48094"
"8","2011 (2004)","6","Madhya Pradesh","Balaghat","57903"
"8","2012 (2004)","6","Madhya Pradesh","Balaghat","70104"
"8","2013 (2004)","6","Madhya Pradesh","Balaghat","84092"
"9","2007 (2004)","6","Madhya Pradesh","Chhindwara","42501"
"9","2008 (2004)","6","Madhya Pradesh","Chhindwara","51375"
"9","2009 (2004)","6","Madhya Pradesh","Chhindwara","57074"
"9","2010 (2004)","6","Madhya Pradesh","Chhindwara","62501"
"9","2011 (2004)","6","Madhya Pradesh","Chhindwara","74067"
"9","2012 (2004)","6","Madhya Pradesh","Chhindwara","87445"
"9","2013 (2004)","6","Madhya Pradesh","Chhindwara","105159"
