state,district,per_capita_income,period_start
Andhra Pradesh,Chittoor,57326.73,2023-01-01
Andhra Pradesh,Chittoor,57326.77,2023-02-01
Andhra Pradesh,Chittoor,57707.08,2023-03-01
Andhra Pradesh,Chittoor,57254.36,2023-04-01
Andhra Pradesh,Chittoor,57823.18,2023-05-01
Andhra Pradesh,Chittoor,57667.35,2023-06-01
Andhra Pradesh,Chittoor,58569.33,2023-07-01
Andhra Pradesh,Chittoor,59099.17,2023-08-01
Andhra Pradesh,Chittoor,59430.73,2023-09-01
Andhra Pradesh,Chittoor,60461.97,2023-10-01
Andhra Pradesh,Chittoor,60745.63,2023-11-01
Andhra Pradesh,Chittoor,61427.65,2023-12-01
Andhra Pradesh,Chittoor,61638.79,2024-01-01
Andhra Pradesh,Chittoor,61757.57,2024-02-01
Andhra Pradesh,Chittoor,61836.94,2024-03-01
Andhra Pradesh,Chittoor,62355.25,2024-04-01
Andhra Pradesh,Chittoor,62660.63,2024-05-01
Andhra Pradesh,Chittoor,62869.25,2024-06-01
Andhra Pradesh,Chittoor,62999.14,2024-07-01
Andhra Pradesh,Chittoor,63783.12,2024-08-01
Andhra Pradesh,Chittoor,64682.81,2024-09-01
Andhra Pradesh,Chittoor,65502.54,2024-10-01
Andhra Pradesh,Chittoor,65428.7,2024-11-01
Andhra Pradesh,Chittoor,66791.3,2024-12-01
Andhra Pradesh,Chittoor,66662.11,2025-01-01
Andhra Pradesh,Chittoor,67448.43,2025-02-01
Andhra Pradesh,Chittoor,67004.7,2025-03-01
Andhra Pradesh,Chittoor,67298.84,2025-04-01
Andhra Pradesh,Chittoor,66998.75,2025-05-01
Andhra Pradesh,Chittoor,67392.88,2025-06-01
Andhra Pradesh,Chittoor,68608.72,2025-07-01
Andhra Pradesh,Chittoor,69268.65,2025-08-01
Andhra Pradesh,Chittoor,69364.16,2025-09-01
Andhra Pradesh,Chittoor,70694.81,2025-10-01
Andhra Pradesh,Chittoor,71419.16,2025-11-01
Andhra Pradesh,Chittoor,71565.44,2025-12-01
Andhra Pradesh,Chittoor,72688.12,2026-01-01
Andhra Pradesh,Chittoor,72260.56,2026-02-01
Andhra Pradesh,East Godavari,72209.14,2023-01-01
Andhra Pradesh,East Godavari,71170.45,2023-02-01
Andhra Pradesh,East Godavari,71521.96,2023-03-01
Andhra Pradesh,East Godavari,71871.12,2023-04-01
Andhra Pradesh,East Godavari,72137.83,2023-05-01
Andhra Pradesh,East Godavari,73547.94,2023-06-01
Andhra Pradesh,East Godavari,73880.42,2023-07-01
Andhra Pradesh,East Godavari,75272.11,2023-08-01
Andhra Pradesh,East Godavari,75188.44,2023-09-01
Andhra Pradesh,East Godavari,76046.55,2023-10-01
Andhra Pradesh,East Godavari,76483.87,2023-11-01
Andhra Pradesh,East Godavari,76667.86,2023-12-01
Andhra Pradesh,East Godavari,76822.39,2024-01-01
Andhra Pradesh,East Godavari,76987.5,2024-02-01
Andhra Pradesh,East Godavari,77761.25,2024-03-01
Andhra Pradesh,East Godavari,77149.27,2024-04-01
Andhra Pradesh,East Godavari,77625.15,2024-05-01
Andhra Pradesh,East Godavari,79445.53,2024-06-01
Andhra Pradesh,East Godavari,79968.81,2024-07-01
Andhra Pradesh,East Godavari,80716.34,2024-08-01
Andhra Pradesh,East Godavari,82195.72,2024-09-01
Andhra Pradesh,East Godavari,82593.99,2024-10-01
Andhra Pradesh,East Godavari,82433.19,2024-11-01
Andhra Pradesh,East Godavari,83412.48,2024-12-01
Andhra Pradesh,East Godavari,82837.14,2025-01-01
Andhra Pradesh,East Godavari,82776.62,2025-02-01
Andhra Pradesh,East Godavari,83739.18,2025-03-01
Andhra Pradesh,East Godavari,83403.88,2025-04-01
Andhra Pradesh,East Godavari,84389.43,2025-05-01
Andhra Pradesh,East Godavari,84606.14,2025-06-01
Andhra Pradesh,East Godavari,85551.94,2025-07-01
Andhra Pradesh,East Godavari,87332.9,2025-08-01
Andhra Pradesh,East Godavari,87583.5,2025-09-01
Andhra Pradesh,East Godavari,88843.8,2025-10-01
Andhra Pradesh,East Godavari,89448.8,2025-11-01
Andhra Pradesh,East Godavari,88793.66,2025-12-01
Andhra Pradesh,East Godavari,89433.54,2026-01-01
Andhra Pradesh,East Godavari,88549.99,2026-02-01
Andhra Pradesh,Guntur,77449.91,2023-01-01
Andhra Pradesh,Guntur,78977.31,2023-02-01
Andhra Pradesh,Guntur,77857.67,2023-03-01
Andhra Pradesh,Guntur,79562.59,2023-04-01
Andhra Pradesh,Guntur,80687.57,2023-05-01
Andhra Pradesh,Guntur,80628.74,2023-06-01
Andhra Pradesh,Guntur,82111.56,2023-07-01
Andhra Pradesh,Guntur,83708.62,2023-08-01
Andhra Pradesh,Guntur,84439.14,2023-09-01
Andhra Pradesh,Guntur,84962.19,2023-10-01
Andhra Pradesh,Guntur,83862.91,2023-11-01
Andhra Pradesh,Guntur,84741.89,2023-12-01
Andhra Pradesh,Guntur,84451.14,2024-01-01
Andhra Pradesh,Guntur,84107.73,2024-02-01
Andhra Pradesh,Guntur,84654.9,2024-03-01
Andhra Pradesh,Guntur,86054.7,2024-04-01
Andhra Pradesh,Guntur,86621.65,2024-05-01
Andhra Pradesh,Guntur,86522.81,2024-06-01
Andhra Pradesh,Guntur,89411.08,2024-07-01
Andhra Pradesh,Guntur,90345.51,2024-08-01
Andhra Pradesh,Guntur,91290.13,2024-09-01
Andhra Pradesh,Guntur,90044.71,2024-10-01
Andhra Pradesh,Guntur,90699.74,2024-11-01
Andhra Pradesh,Guntur,90190.77,2024-12-01
Andhra Pradesh,Guntur,89638.3,2025-01-01
Andhra Pradesh,Guntur,89848.73,2025-02-01
Andhra Pradesh,Guntur,90508.28,2025-03-01
Andhra Pradesh,Guntur,91475.94,2025-04-01
Andhra Pradesh,Guntur,93895.98,2025-05-01
Andhra Pradesh,Guntur,93920.65,2025-06-01
Andhra Pradesh,Guntur,96571.71,2025-07-01
Andhra Pradesh,Guntur,96727.79,2025-08-01
Andhra Pradesh,Guntur,97497.95,2025-09-01
Andhra Pradesh,Guntur,98646.63,2025-10-01
Andhra Pradesh,Guntur,97525.94,2025-11-01
Andhra Pradesh,Guntur,98649.46,2025-12-01
Andhra Pradesh,Guntur,98876.98,2026-01-01
Andhra Pradesh,Guntur,97677.53,2026-02-01
Andhra Pradesh,Krishna,79355.61,2023-01-01
Andhra Pradesh,Krishna,78468.2,2023-02-01
Andhra Pradesh,Krishna,78483.93,2023-03-01
Andhra Pradesh,Krishna,80231.17,2023-04-01
Andhra Pradesh,Krishna,80304.44,2023-05-01
Andhra Pradesh,Krishna,79797.04,2023-06-01
Andhra Pradesh,Krishna,81988.86,2023-07-01
Andhra Pradesh,Krishna,82179.39,2023-08-01
Andhra Pradesh,Krishna,82434.02,2023-09-01
Andhra Pradesh,Krishna,82348.3,2023-10-01
Andhra Pradesh,Krishna,82945.19,2023-11-01
Andhra Pradesh,Krishna,81454.38,2023-12-01
Andhra Pradesh,Krishna,82586.77,2024-01-01
Andhra Pradesh,Krishna,81663.67,2024-02-01
Andhra Pradesh,Krishna,81147.93,2024-03-01
Andhra Pradesh,Krishna,82624.56,2024-04-01
Andhra Pradesh,Krishna,82304.46,2024-05-01
Andhra Pradesh,Krishna,82632.29,2024-06-01
Andhra Pradesh,Krishna,84751.06,2024-07-01
Andhra Pradesh,Krishna,85488.86,2024-08-01
Andhra Pradesh,Krishna,84618.64,2024-09-01
Andhra Pradesh,Krishna,85208.24,2024-10-01
Andhra Pradesh,Krishna,84605.08,2024-11-01
Andhra Pradesh,Krishna,84255.14,2024-12-01
Andhra Pradesh,Krishna,84732.32,2025-01-01
Andhra Pradesh,Krishna,83866.88,2025-02-01
Andhra Pradesh,Krishna,85270.28,2025-03-01
Andhra Pradesh,Krishna,85473.39,2025-04-01
Andhra Pradesh,Krishna,85813.62,2025-05-01
Andhra Pradesh,Krishna,86317.18,2025-06-01
Andhra Pradesh,Krishna,87236.8,2025-07-01
Andhra Pradesh,Krishna,87116.81,2025-08-01
Andhra Pradesh,Krishna,87971.96,2025-09-01
Andhra Pradesh,Krishna,89042.74,2025-10-01
Andhra Pradesh,Krishna,87799.83,2025-11-01
Andhra Pradesh,Krishna,88695.58,2025-12-01
Andhra Pradesh,Krishna,87768.49,2026-01-01
Andhra Pradesh,Krishna,87776.51,2026-02-01
